language,count
,7108.0
JavaScript,2956.0
HTML,2739.0
Python,1580.0
Java,1227.0
CSS,982.0
TypeScript,702.0
Jupyter Notebook,559.0
C#,510.0
C++,437.0
C,284.0
PHP,274.0
Shell,170.0
Kotlin,136.0
Dart,121.0
Go,114.0
Rust,105.0
Vue,100.0
Swift,94.0
SCSS,81.0
Lua,69.0
Ruby,65.0
Dockerfile,53.0
R,51.0
HCL,40.0
MATLAB,25.0
EJS,16.0
Astro,16.0
Makefile,16.0
TeX,15.0
Solidity,15.0
Assembly,15.0
Hack,13.0
Pascal,13.0
PowerShell,12.0
ShaderLab,12.0
TSQL,11.0
Svelte,11.0
ASP.NET,10.0
Elixir,10.0
Verilog,9.0
Haskell,8.0
Perl,8.0
Haxe,8.0
Apex,7.0
CMake,7.0
Batchfile,7.0
Handlebars,7.0
Fortran,6.0
Starlark,5.0
Clojure,5.0
Nix,5.0
Processing,5.0
Smarty,5.0
Julia,5.0
Zig,4.0
Blade,4.0
Objective-C,4.0
GDScript,4.0
Rich Text Format,4.0
VHDL,4.0
Rebol,4.0
Tcl,4.0
Roff,4.0
PLpgSQL,3.0
Liquid,3.0
Cuda,3.0
AutoHotkey,3.0
CoffeeScript,3.0
LLVM,3.0
Erlang,3.0
Jinja,3.0
Pug,3.0
Yacc,2.0
Groovy,2.0
SystemVerilog,2.0
NetLogo,2.0
Mathematica,2.0
PLSQL,2.0
Bicep,2.0
Common Lisp,2.0
Scala,2.0
Elm,2.0
ActionScript,2.0
Gherkin,2.0
Less,2.0
Visual Basic .NET,2.0
Racket,2.0
Nunjucks,2.0
OCaml,2.0
LabVIEW,1.0
mcfunction,1.0
ObjectScript,1.0
ASL,1.0
Portugol,1.0
DIGITAL Command Language,1.0
Nu,1.0
Nim,1.0
Janet,1.0
Vim Script,1.0
Scheme,1.0
Smalltalk,1.0
Scilab,1.0
G-code,1.0
GSC,1.0
SuperCollider,1.0
F#,1.0
Wollok,1.0
MQL5,1.0
HLSL,1.0
XSLT,1.0
VBScript,1.0
Inno Setup,1.0
Game Maker Language,1.0
GAP,1.0
Pawn,1.0
wdl,1.0
FreeMarker,1.0
V,1.0
Lasso,1.0
OpenSCAD,1.0
Visual Basic 6.0,1.0
Witcher Script,1.0
Stata,1.0
Prolog,1.0
Papyrus,1.0
Terra,1.0
Sass,1.0
AGS Script,1.0
